task_id,filename,em,bleu,wbleu,syntax,dataflow,codebleu
11,11.py,0.0,0.007119802576104629,0.008137694505916915,0.22916666666666666,0.47058823529411764,0.34987745098039214
111,111.py,0.0,0.0022834015225017697,0.04253665667561763,0.13333333333333333,0.8888888888888888,0.5111111111111111
115,115.py,0.0,0.003203977047873906,0.03514847831369806,0.09090909090909091,0.2857142857142857,0.18831168831168832
117,117.py,0.0,0.012393012696867153,0.015264656114979657,0.10256410256410256,0.23809523809523808,0.17032967032967034
140,140.py,0.0,0.011296250966348594,0.025834828718661867,0.3448275862068966,0.7058823529411765,0.5253549695740365
16,16.py,0.0,0.02300991908919148,0.08273378563532066,0.4444444444444444,0.7142857142857143,0.5793650793650793
160,160.py,0.0,0.0025222999527319987,0.044044148555079043,0.2413793103448276,0.65,0.4456896551724138
162,162.py,0.0,0.006734719128165655,0.020933037724484297,0.13333333333333333,0.5,0.31666666666666665
166,166.py,0.0,0.012161116378414943,0.0643000089655796,0.22580645161290322,0.47619047619047616,0.3509984639016897
170,170.py,0.0,0.03689965150010175,0.07669649888473704,0.6,0.9333333333333333,0.7666666666666666
171,171.py,0.0,0.006510755202591488,0.04576318980860576,0.09090909090909091,0.6,0.34545454545454546
18,18.py,0.0,0.010552870048892798,0.019445375545211304,0.3333333333333333,0.15,0.24166666666666664
249,249.py,0.0,0.004615406011134244,0.02864629015880099,0.21428571428571427,0.7,0.45714285714285713
250,250.py,0.0,0.015701014973532344,0.0379225042589929,0.3125,0.8333333333333334,0.5729166666666667
251,251.py,0.0,0.006168026086725149,0.021651956746181058,0.09090909090909091,0.6,0.34545454545454546
265,265.py,0.0,0.011712916466550741,0.039281465090051315,0.36363636363636365,0.875,0.6193181818181819
267,267.py,0.0,0.00388107836970323,0.10855926040543844,0.07692307692307693,0.5,0.28846153846153844
270,270.py,0.0,0.021135177516252365,0.06524019201223846,0.2916666666666667,0.47058823529411764,0.38112745098039214
271,271.py,0.0,0.005982129067776496,0.019543738309112917,0.17391304347826086,0.3157894736842105,0.2448512585812357
272,272.py,0.0,0.004792230160209378,0.0322389403377945,0.5,0.42857142857142855,0.4642857142857143
273,273.py,0.0,0.005409880072118434,0.022108037572889653,0.06666666666666667,0.6666666666666666,0.36666666666666664
284,284.py,0.0,0.013618796864073041,0.03514847831369806,1.0,1.0,1.0
292,292.py,0.0,0.018798317647335087,0.04971987693433304,0.4444444444444444,1.0,0.7222222222222222
293,293.py,0.0,0.035720185757984545,0.19355472730798323,0.5882352941176471,0.7272727272727273,0.6577540106951871
304,304.py,0.0,0.0018178153282006498,0.009260987514518869,0.13157894736842105,0.3548387096774194,0.2432088285229202
305,305.py,0.0,0.007425055521504611,0.022089591134157885,0.2857142857142857,0.6666666666666666,0.47619047619047616
310,310.py,0.0,0.013679192123121896,0.019789042442993527,0.0,0.3333333333333333,0.16666666666666666
389,389.py,0.0,0.016697888732107136,0.07364881408787989,0.36363636363636365,0.625,0.4943181818181818
411,411.py,0.0,0.00606212098164554,0.02736989145562129,0.47619047619047616,0.8333333333333334,0.6547619047619048
413,413.py,0.0,0.00506619280504146,0.02950234363196405,0.2,0.75,0.475
417,417.py,0.0,0.026037258624452747,0.0637738682107017,0.2777777777777778,0.6,0.4388888888888889
419,419.py,0.0,0.0038111203719291505,0.048549177170732344,0.2777777777777778,0.6666666666666666,0.4722222222222222
422,422.py,0.0,0.004703082641557888,0.014908960803395835,0.15789473684210525,0.42857142857142855,0.2932330827067669
429,429.py,0.0,0.0021165462236976272,0.022401521369401368,0.3333333333333333,0.5833333333333334,0.45833333333333337
430,430.py,0.0,0.0025274086505844037,0.03609190025888448,0.16666666666666666,0.75,0.4583333333333333
432,432.py,0.0,0.007434360163166208,0.033183516807882445,0.2,0.8571428571428571,0.5285714285714286
