task_id,tests_passed,tests_failed,total_tests,pass_rate,all_passed,original_z_score,original_p_exact,original_p_unified,original_score,original_method_used,original_preferred_ratio,original_token_count,original_green_count,original_is_watermarked,original_unique_starts,generated_z_score,generated_p_exact,generated_p_unified,generated_score,generated_method_used,generated_preferred_ratio,generated_token_count,generated_green_count,generated_is_watermarked,generated_unique_starts
2,3,0,3,100.0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,n
3,6,0,6,100.0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,bo,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,blo
4,0,3,3,0.0,False,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,mnx,-1.1215843794590765,0.948479625639,0.948479625639,0.022971993787012115,binomial,0.16666666666666666,6,1,False,adlmn
5,3,0,3,100.0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,dnr,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,5,3,False,dlns
6,3,0,3,100.0,True,0.9841413506414587,0.27068694033420004,0.27068694033420004,0.5675326968619676,binomial,0.5714285714285714,7,4,False,cdmpsx,-0.8118500245606641,0.8827756922164167,0.8827756922164167,0.05414963391729168,binomial,0.25,8,2,False,cdglmp
9,4,0,4,100.0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,nr,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,cdlnr
11,3,0,3,100.0,True,-1.340601997330491,0.96857257163979,0.96857257163979,0.013867833610921754,binomial,0.14285714285714285,7,1,False,abijxy,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,abs
13,4,0,4,100.0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,ab,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,ab
15,3,0,3,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,nx,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,nps
19,5,0,5,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,nvx,0.6378821621548074,0.3827973172052836,0.3827973172052836,0.41703111459170455,binomial,0.5,8,4,False,dnsw
21,5,0,5,100.0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,mnx,-0.5656875480065078,0.82792194963426,0.82792194963426,0.08201060336110197,binomial,0.2857142857142857,7,2,False,lmns
22,3,0,3,100.0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,x,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,aels
26,3,0,3,100.0,True,-1.7879377258381821,1.0,1.0,-0.0,binomial,0.0,5,0,False,cn,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,dfln
28,3,0,3,100.0,True,1.2506408613597126,0.39,0.39,0.4089353929735008,binomial,1.0,1,1,False,s,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,ls
29,2,0,2,100.0,True,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,psx,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,5,3,False,flps
30,4,0,4,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,el,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,ln
35,2,0,2,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,elm,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,bel
37,3,0,3,100.0,True,-1.958587647712119,1.0,1.0,-0.0,binomial,0.0,6,0,False,aelo,0.552422157047008,0.43495122879000003,0.43495122879000003,0.36155943788410755,binomial,0.5,6,3,False,deilps
38,0,1,1,0.0,False,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,es,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,gis
43,9,0,9,100.0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,ijl,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,aels
45,3,0,3,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,ah,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,ah
46,4,0,4,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,nr,0.9841413506414587,0.27068694033420004,0.27068694033420004,0.5675326968619676,binomial,0.5714285714285714,7,4,False,cinp
47,5,0,5,100.0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,l,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,lms
49,7,0,7,100.0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,inpr,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,np
50,0,1,1,0.0,False,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,cs,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,cs
51,7,0,7,100.0,True,1.7686732677928751,0.1521,0.1521,0.8178707859470016,binomial,1.0,2,2,False,st,1.8796268399837295,0.07958237040000002,0.07958237040000002,1.099183129322473,binomial,0.8,5,4,False,btv
52,6,0,6,100.0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,elt,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,lnt
56,12,0,12,100.0,True,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,bd,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,b
59,5,0,5,100.0,True,-1.958587647712119,1.0,1.0,-0.0,binomial,0.0,6,0,False,ijkln,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,dln
60,5,0,5,100.0,True,-0.7995900589021114,1.0,1.0,-0.0,binomial,0.0,1,0,False,n,1.3615138818393888,0.15000684625509092,0.15000684625509092,0.8238889194579406,binomial,0.6,10,6,False,deinrst
62,5,0,5,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,ix,1.4761662625885135,0.16787277000000003,0.16787277000000003,0.775019743396212,binomial,0.75,4,3,False,dptx
63,7,0,7,100.0,True,-1.130791105638068,1.0,1.0,-0.0,binomial,0.0,2,0,False,fn,1.3894254253000504,0.16566551001000002,0.16566551001000002,0.7807678981675861,binomial,0.6666666666666666,6,4,False,cnp
64,8,0,8,100.0,True,-0.5740646576733108,0.8615415900000001,0.8615415900000001,0.064723752607681,binomial,0.25,4,1,False,cnsv,0.04584455707277373,0.6455464704,0.6455464704,0.19007248908792793,binomial,0.4,5,2,False,cstv
65,5,0,5,100.0,True,0.9824721401826685,0.337662,0.337662,0.47151781149636296,binomial,0.6666666666666666,3,2,False,sx,2.2264286935530926,0.03654080059500001,0.03654080059500001,1.4372219416528353,binomial,0.8333333333333334,6,5,False,dstx
66,10,0,10,100.0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,cis,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,cist
67,7,0,7,100.0,True,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,ilns,-1.340601997330491,0.96857257163979,0.96857257163979,0.013867833610921754,binomial,0.14285714285714285,7,1,False,afmnos
68,10,0,10,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,aex,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,absv
69,25,0,25,100.0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,afil,-1.958587647712119,1.0,1.0,-0.0,binomial,0.0,6,0,False,flnv
72,6,0,6,100.0,True,-1.5991801178042229,1.0,1.0,-0.0,binomial,0.0,4,0,False,ijqw,0.45105080245760126,0.5074512300000001,0.5074512300000001,0.2946056904781129,binomial,0.5,4,2,False,bqtw
74,11,0,11,100.0,True,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,ls,0.9627356985282516,0.30030836940000005,0.30030836940000005,0.5224325641260711,binomial,0.6,5,3,False,ls
76,10,0,10,100.0,True,-0.20122923353138983,0.773019,0.773019,0.11180983144552044,binomial,0.3333333333333333,3,1,False,npx,-0.8710465843827041,0.9155403699,0.9155403699,0.03832250112933953,binomial,0.2,5,1,False,mnprx
80,8,0,8,100.0,True,0.3189410810774037,0.6279,0.6279,0.20210951694165108,binomial,0.5,2,1,False,is,2.1661735138967266,0.059319000000000004,0.059319000000000004,1.2268061789205023,binomial,1.0,3,3,False,pst
81,7,0,7,100.0,True,-1.3849306072454481,1.0,1.0,-0.0,binomial,0.0,3,0,False,gl,0.20922690131747548,0.55814944513185,0.55814944513185,0.25324950266388563,binomial,0.42857142857142855,7,3,False,glst
